Sending command: Time 1725686063.3379211, Addr 2, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.3379211, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 1, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 2, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.358986, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 2, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.383135, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 1, Duty -4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 2, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4025018, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 1, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 2, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.422039, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 1, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 2, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4426959, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 1, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 2, Duty -3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4647648, Addr 3, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4854321, Addr 1, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4854321, Addr 2, Duty -2, Freq 0, Start/Stop 1
Sending command: Time 1725686063.4854321, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5048409, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5048409, Addr 2, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5048409, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.524956, Addr 1, Duty -15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.524956, Addr 2, Duty 2, Freq 0, Start/Stop 1
Sending command: Time 1725686063.524956, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5471811, Addr 1, Duty -13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5471811, Addr 2, Duty 3, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5471811, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.568002, Addr 1, Duty -11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.568002, Addr 2, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.568002, Addr 3, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5876522, Addr 1, Duty -8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5876522, Addr 2, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.5876522, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.607574, Addr 1, Duty -4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.607574, Addr 2, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.607574, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.6303492, Addr 1, Duty 0, Freq 0, Start/Stop 1
Sending command: Time 1725686063.6303492, Addr 2, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.6303492, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.651308, Addr 1, Duty 4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.651308, Addr 2, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.651308, Addr 3, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.670896, Addr 1, Duty 7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.670896, Addr 2, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.670896, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.690621, Addr 1, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.690621, Addr 2, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.690621, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.7127411, Addr 1, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.7127411, Addr 2, Duty -14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.7127411, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.734407, Addr 1, Duty 14, Freq 0, Start/Stop 1
Sending command: Time 1725686063.734407, Addr 2, Duty -12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.734407, Addr 3, Duty 12, Freq 0, Start/Stop 1
Sending command: Time 1725686063.754245, Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.754245, Addr 2, Duty -10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.754245, Addr 3, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.774035, Addr 1, Duty 15, Freq 0, Start/Stop 1
Sending command: Time 1725686063.774035, Addr 2, Duty -9, Freq 0, Start/Stop 1
Sending command: Time 1725686063.774035, Addr 3, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.796874, Addr 1, Duty 13, Freq 0, Start/Stop 1
Sending command: Time 1725686063.796874, Addr 2, Duty -7, Freq 0, Start/Stop 1
Sending command: Time 1725686063.796874, Addr 3, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.818552, Addr 1, Duty 11, Freq 0, Start/Stop 1
Sending command: Time 1725686063.818552, Addr 2, Duty -5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.818552, Addr 3, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.8379982, Addr 1, Duty 8, Freq 0, Start/Stop 1
Sending command: Time 1725686063.8379982, Addr 2, Duty -4, Freq 0, Start/Stop 1
Sending command: Time 1725686063.8379982, Addr 3, Duty 10, Freq 0, Start/Stop 1
Sending command: Time 1725686063.858228, Addr 1, Duty 5, Freq 0, Start/Stop 1
Sending command: Time 1725686063.858228, Addr 2, Duty -2, Freq 0, Start/Stop 1
